class,R,G,B,class_name
0, 255, 255, 255, background
1, 255, 254, 137, Alfalfa
2,   3,  28, 241, Corn-notill
3, 255,  89,   1, Corn-min
4,   5, 255, 133, Corn
5, 255,   2, 251, Grass/Pasture
6,  89,   1, 255, Grass/Trees
7,   3, 171, 255, Grass/pasture-mowed
8,  12, 255,   7, Hay-windrowed
9, 172, 175,  84, Oats
10, 160, 78, 158, Soybeans-notill
11, 101, 173, 255, Soybeans-min
12,  60,  91, 112, Soybean-clean
13, 104, 192,  63, Wheat
14, 139,  69,  46, Woods
15, 119, 255, 172, Bldg-Grass-Tree-Drives
16, 254, 255,   3, Stone-steel towers
